Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
ALOT;995248;USD;2022;FY;2023-01-31;2023-04-17;2023-04-17;7370000;7450000;142527000;-94371000;48156000;-42713000;-35891000;-6822000;;5443000;-2033000;-1678000;3410000;;3410000;-749000;2661000;;2661000;2661000
ALPA;12442236;USD;2021;FY;2021-12-31;2022-02-10;2023-03-17;4007177;10980299;;;;-467431;-467431;;;-467431;8091;;-459340;129958;-329382;;-329382;;-329382;-329382
ALPA;12442236;USD;2022;FY;2022-12-31;2023-03-17;2023-03-17;19769000;19769000;;;;-1651483;-1651483;;;-1651483;2247678;;596195;;596195;-391198;204997;;204997;204997
ALPN;819011;USD;2018;FY;2018-12-31;2019-03-18;2021-03-18;13849470;13849470;705000;;;-37332000;-8362000;-28970000;;-36627000;977000;977000;-35650000;-1203000;-36853000;366000;-36487000;;-36487000;-36487000
ALPN;819011;USD;2019;FY;2019-12-31;2020-03-30;2022-03-17;18358864;18358864;1740000;;;-45314000;-9467000;-35847000;;-43574000;1722000;910000;-41852000;;-41852000;;-41852000;;-41852000;-41852000
ALPN;819011;USD;2020;FY;2020-12-31;2021-03-18;2023-03-23;20826466;20826466;9335000;;;-38084000;-10899000;-27185000;;-28749000;803000;-530000;-27946000;;-27946000;6000;-27940000;;-27940000;-27940000
ALPN;819011;USD;2021;FY;2021-12-31;2022-03-17;2024-03-20;24724442;24724442;23443000;;;-73302000;-14560000;-58742000;;-49859000;-561000;-557000;-50420000;;-50420000;87000;-50333000;;-50333000;-50333000
ALPN;819011;USD;2022;FY;2022-12-31;2023-03-23;2024-03-20;33435280;33435280;30064000;;;-88211000;-17968000;-70243000;;-58147000;2715000;2812000;-55432000;;-55432000;-2330000;-57762000;;-57762000;-57762000
ALRM;819790;USD;2018;FY;2018-12-31;2019-03-01;2021-02-25;47633739;49692184;420494000;-145715000;274779000;-262577000;-151652000;-89204000;-21721000;12202000;-503000;-646000;11699000;;11699000;9825000;21524000;;21524000;21521000
ALRM;819790;USD;2019;FY;2019-12-31;2020-02-26;2022-02-24;48427446;50273889;502363000;-183599000;318764000;-268351000;-131774000;-114443000;-22134000;50413000;8483000;1948000;58896000;;58896000;-5566000;53330000;;53531000;53531000
ALRM;819790;USD;2020;FY;2020-12-31;2021-02-25;2023-02-24;48950328;50963190;618003000;-227428000;390575000;-334277000;-154610000;-152147000;-27520000;56298000;23862000;-1726000;80160000;;80160000;-3500000;76660000;;77853000;77853000
ALRM;819790;USD;2021;FY;2021-12-31;2022-02-24;2024-02-22;49954565;51836239;748969000;-305899000;443070000;-381498000;-174070000;-177713000;-29715000;61572000;-15503000;-15369000;46069000;;46069000;5106000;51175000;;52259000;52259000
ALRM;819790;USD;2022;FY;2022-12-31;2023-02-24;2024-02-22;49926236;54932757;842559000;-342581000;499978000;-448941000;-199436000;-218635000;-30870000;51037000;5556000;5615000;56593000;;56593000;-962000;55631000;;56338000;56338000
ALRN;815574;USD;2018;FY;2018-12-31;2019-03-29;2019-03-29;736910;736910;;;;-31902000;-13454000;-18448000;;-31902000;355000;355000;-31547000;0;-31547000;;-31547000;;-31547000;-31547000
ALRN;815574;USD;2019;FY;2019-12-31;2020-03-30;2021-03-24;1226773;1226773;;;;-29956000;-12293000;-17663000;;-29956000;587000;;-29369000;;-29369000;;-29369000;;-29369000;-29369000
ALRN;815574;USD;2020;FY;2020-12-31;2021-03-24;2022-03-28;1743335;1743335;;;;-20496000;-9330000;-11166000;;-20496000;-661000;;-21157000;;-21157000;;-21157000;;-21157000;-21157000
ALRN;815574;USD;2021;FY;2021-12-31;2022-03-28;2023-03-20;1966059;1966059;;;;-26605000;-9597000;-17008000;;-26605000;441000;;-26164000;;-26164000;;-26164000;;-26164000;-26164000
ALRN;815574;USD;2022;FY;2022-12-31;2023-03-20;2023-03-20;4541167;4541180;;;;-27647000;-9680000;-17967000;;-27647000;318000;;-27329000;;-27329000;;-27329000;;-27329000;-27329000
ALSK;899013;USD;2018;FY;2018-12-31;2019-03-11;2019-03-11;53042000;53840000;232468000;-107509000;124959000;-100555000;-66647000;;-33908000;24404000;-13250000;-13273000;11154000;-125000;11029000;-2041000;8988000;;9080000;9080000
ALSK;899013;USD;2019;FY;2019-12-31;2020-03-16;2021-03-16;53379000;54277000;231694000;-105615000;126079000;-103994000;-66718000;;-37276000;22085000;-11499000;-11674000;10586000;-2986000;7600000;-2765000;4835000;;4928000;4928000
ALSK;899013;USD;2020;FY;2020-12-31;2021-03-16;2021-03-16;54013000;54013000;240569000;-112443000;128126000;-106440000;-65773000;;-40667000;21686000;-10387000;-10826000;11299000;-9790000;1509000;-2665000;-1156000;;-1073000;-1073000
ALSN;445706;USD;2018;FY;2018-12-31;2019-02-26;2021-02-18;133000000;134000000;2713000000;-1291000000;1422000000;-499000000;-368000000;-131000000;;923000000;-118000000;-121000000;805000000;;805000000;-166000000;639000000;;639000000;639000000
ALSN;445706;USD;2019;FY;2019-12-31;2020-02-27;2022-02-17;122000000;123000000;2698000000;-1304000000;1394000000;-510000000;-356000000;-154000000;;884000000;-124000000;-134000000;760000000;8000000;768000000;-164000000;604000000;;604000000;604000000
ALSN;445706;USD;2020;FY;2020-12-31;2021-02-18;2023-02-16;114000000;114000000;2081000000;-1083000000;998000000;-464000000;-317000000;-147000000;;534000000;-141000000;-137000000;393000000;;393000000;-94000000;299000000;;299000000;299000000
ALSN;445706;USD;2021;FY;2021-12-31;2022-02-17;2024-02-14;106000000;106000000;2402000000;-1257000000;1145000000;-476000000;-305000000;-171000000;;669000000;-97000000;-116000000;572000000;;572000000;-130000000;442000000;;442000000;442000000
ALSN;445706;USD;2022;FY;2022-12-31;2023-02-16;2024-02-14;114122137;114122137;2769000000;-1472000000;1297000000;-513000000;-328000000;-185000000;;784000000;-139000000;-118000000;645000000;;645000000;-114000000;531000000;;531000000;531000000
ALT;511510;USD;2018;FY;2018-12-31;2019-04-01;2019-04-01;2802382;2802382;10331168;;;-28224891;-9765581;-18459310;;-17893723;207393;-70493;-17686330;-27634616;-45320946;6149794;-39171152;;-39171152;-42478952
ALT;511510;USD;2019;FY;2019-12-31;2020-03-27;2021-02-25;13124951;13124951;5801401;;;-26266336;-8500783;-17765553;;-20464935;856304;841165;-19608631;-970000;-20578631;58500;-20520131;;-20520131;-20973056
ALT;511510;USD;2020;FY;2020-12-31;2021-02-25;2022-03-15;25637023;25637023;8185027;;;-62983768;-13209440;-49774328;;-54798741;337240;313093;-54461501;;-54461501;5417024;-49044477;;-49044477;-49044477
ALT;511510;USD;2021;FY;2021-12-31;2022-03-15;2023-02-28;41370768;41370768;4410000;;;-89954000;-15413000;-74541000;;-85544000;-176000;198000;-85720000;-11370000;-97090000;;-97090000;;-97090000;-97090000
ALT;511510;USD;2022;FY;2022-12-31;2023-02-28;2024-03-27;46926349;46926349;-68000;;;-87672000;-17134000;-70538000;;-87740000;2830000;2862000;-84910000;;-84910000;197000;-84713000;;-84713000;-84713000
ALTG;11817076;USD;2018;FY;2018-12-31;2019-03-26;2020-03-25;18431250;18431250;;;;-342;;;;-342;;;-342;;-342;-800;-1142;;-1142;-1142
ALTG;11817076;USD;2019;FY;2019-12-31;2020-03-25;2021-03-18;2961370;2961370;557400000;-405300000;152100000;-140400000;-137600000;;-2800000;11700000;-19200000;-20500000;-7500000;-27900000;-35400000;;-35400000;;-35400000;-35400000
ALTG;11817076;USD;2020;FY;2020-12-31;2021-03-18;2023-03-09;26612982;26612982;873600000;-659100000;214500000;-222600000;-216000000;;-6600000;-8100000;-14900000;-23800000;-23000000;-7600000;-30600000;6600000;-24000000;;-24000000;-24000000
ALTM;1249012;USD;2018;FY;2018-12-31;2019-02-26;2021-02-26;20826336;20826336;76750000;;;-88991000;-61290000;;-20068000;-12241000;1608000;1608000;-10633000;-107000;-10740000;10501000;-239000;;-239000;-239000
ALTM;1249012;USD;2019;FY;2019-12-31;2020-03-16;2022-02-22;9012876;9012876;135798000;;;-120870000;-66159000;;-41480000;14928000;22053000;3606000;36981000;-1299801000;-1262820000;-64900000;-1327720000;;-1327720000;-1366529000
ALTM;1249012;USD;2020;FY;2020-12-31;2021-02-26;2023-03-07;9012876;9012876;410176000;-65053000;345123000;-351369000;-22917000;;-223763000;-6246000;-135216000;-135516000;-141462000;-1013359000;-1154821000;-968000;-1155789000;;-1155789000;-1155789000
